Ugs;Id;Uds
4,000000;-0,002987;8,599997
4,000000;-0,003000;8,799996
4,000000;-0,003013;8,999996
4,000000;-0,003028;9,199996
4,000000;-0,003043;9,399996
4,000000;-0,003055;9,599996
4,000000;-0,003068;9,799995
4,000000;-0,003079;9,999995
4,000000;-0,003098;10,200000
4,000000;-0,003112;10,399990
5,000000;-0,000561;0,400000
5,000000;-0,001071;0,600000
5,000000;-0,001539;0,800000
5,000000;-0,001980;1,000000
5,000000;-0,002373;1,200000
5,000000;-0,002739;1,400000
5,000000;-0,003065;1,600000
5,000000;-0,003350;1,800000
5,000000;-0,003608;2,000000
5,000000;-0,003827;2,200000
5,000000;-0,004012;2,400000
5,000000;-0,004158;2,600000
5,000000;-0,004286;2,800000
5,000000;-0,004389;3,000000
5,000000;-0,004464;3,200001
5,000000;-0,004532;3,400001
5,000000;-0,004591;3,600001
5,000000;-0,004646;3,800001
5,000000;-0,004688;4,000000
5,000000;-0,004733;4,200000
5,000000;-0,004776;4,400000
5,000000;-0,004810;4,600000
5,000000;-0,004849;4,800000
5,000000;-0,004879;5,000000
5,000000;-0,004916;5,199999
5,000000;-0,004948;5,399999
5,000000;-0,004979;5,599999
5,000000;-0,005007;5,799999
5,000000;-0,005036;5,999999
5,000000;-0,005069;6,199998
5,000000;-0,005096;6,399998
5,000000;-0,005128;6,599998
5,000000;-0,005151;6,799998
5,000000;-0,005176;6,999998
5,000000;-0,005206;7,199997
5,000000;-0,005225;7,399997
5,000000;-0,005251;7,599997
5,000000;-0,005276;7,799997
5,000000;-0,005300;7,999997
5,000000;-0,005328;8,199997
5,000000;-0,005346;8,399997
5,000000;-0,005375;8,599997
5,000000;-0,005393;8,799996
5,000000;-0,005415;8,999996
5,000000;-0,005440;9,199996
5,000000;-0,005459;9,399996
5,000000;-0,005482;9,599996
5,000000;-0,005503;9,799995
5,000000;-0,005529;9,999995
5,000000;-0,005546;10,200000
5,000000;-0,005565;10,399990
6,000000;-0,000675;0,400000
6,000000;-0,001310;0,600000
6,000000;-0,001911;0,800000
6,000000;-0,002482;1,000000
6,000000;-0,003016;1,200000
6,000000;-0,003512;1,400000
6,000000;-0,003979;1,600000
6,000000;-0,004414;1,800000
6,000000;-0,004813;2,000000
6,000000;-0,005174;2,200000
6,000000;-0,005509;2,400000
6,000000;-0,005800;2,600000
6,000000;-0,006064;2,800000
6,000000;-0,006302;3,000000
6,000000;-0,006506;3,200001
6,000000;-0,006676;3,400001
6,000000;-0,006822;3,600001
6,000000;-0,006950;3,800001
6,000000;-0,007057;4,000000
6,000000;-0,007142;4,200000
6,000000;-0,007225;4,400000
6,000000;-0,007293;4,600000
6,000000;-0,007359;4,800000
6,000000;-0,007419;5,000000
