Uds;Id;Ugs
1,000000;0,009982;8,999996
1,000000;0,010271;9,199996
1,000000;0,010548;9,399996
1,000000;0,010826;9,599996
1,000000;0,011101;9,799995
1,000000;0,011372;9,999995
1,000000;0,011640;10,200000
1,000000;0,011904;10,399990
2,000000;-4,125000E-6;0,400000
2,000000;-1,375000E-6;0,600000
2,000000;-5,500000E-6;0,800000
2,000000;-4,125000E-6;1,000000
2,000000;-2,750000E-6;1,200000
2,000000;-6,875000E-6;1,400000
2,000000;-4,125000E-6;1,600000
2,000000;8,251000E-6;2,000000
2,000000;1,925100E-5;2,200000
2,000000;4,537800E-5;2,400000
2,000000;0,000100;2,600000
2,000000;0,000187;2,800000
2,000000;0,000311;3,000000
2,000000;0,000473;3,200001
2,000000;0,000682;3,400001
2,000000;0,000935;3,600001
2,000000;0,001228;3,800001
2,000000;0,001565;4,000000
2,000000;0,001940;4,200000
2,000000;0,002353;4,400000
2,000000;0,002801;4,600000
2,000000;0,003282;4,800000
2,000000;0,003798;5,000000
2,000000;0,004343;5,199999
2,000000;0,004909;5,399999
2,000000;0,005504;5,599999
2,000000;0,006122;5,799999
2,000000;0,006753;5,999999
2,000000;0,007398;6,199998
2,000000;0,008051;6,399998
2,000000;0,008717;6,599998
2,000000;0,009379;6,799998
2,000000;0,010037;6,999998
2,000000;0,010700;7,199997
2,000000;0,011350;7,399997
2,000000;0,012002;7,599997
2,000000;0,012640;7,799997
2,000000;0,013276;7,999997
2,000000;0,013897;8,199997
2,000000;0,014518;8,399997
2,000000;0,015127;8,599997
2,000000;0,015727;8,799996
2,000000;0,016313;8,999996
2,000000;0,016897;9,199996
2,000000;0,017472;9,399996
2,000000;0,018045;9,599996
2,000000;0,018604;9,799995
2,000000;0,019159;9,999995
2,000000;0,019706;10,200000
2,000000;0,020245;10,399990
3,000000;-4,125000E-6;0,600000
3,000000;-6,875000E-6;0,800000
3,000000;-5,500000E-6;1,400000
3,000000;-2,750000E-6;1,600000
3,000000;-1,375000E-6;1,800000
3,000000;5,500000E-6;2,000000
3,000000;2,200100E-5;2,200000
3,000000;4,812800E-5;2,400000
3,000000;9,900600E-5;2,600000
3,000000;0,000190;2,800000
3,000000;0,000315;3,000000
3,000000;0,000487;3,200001
3,000000;0,000703;3,400001
3,000000;0,000961;3,600001
3,000000;0,001266;3,800001
3,000000;0,001607;4,000000
3,000000;0,001995;4,200000
3,000000;0,002419;4,400000
3,000000;0,002878;4,600000
3,000000;0,003383;4,800000
3,000000;0,003912;5,000000
3,000000;0,004480;5,199999
3,000000;0,005081;5,399999
3,000000;0,005709;5,599999
3,000000;0,006363;5,799999
3,000000;0,007045;5,999999
3,000000;0,007751;6,199998
3,000000;0,008483;6,399998
3,000000;0,009231;6,599998
3,000000;0,010001;6,799998
3,000000;0,010788;6,999998
3,000000;0,011589;7,199997
3,000000;0,012409;7,399997
3,000000;0,013234;7,599997
3,000000;0,014068;7,799997
3,000000;0,014916;7,999997
3,000000;0,015761;8,199997
3,000000;0,016614;8,399997
3,000000;0,017470;8,599997
3,000000;0,018316;8,799996
3,000000;0,019169;8,999996
3,000000;0,020013;9,199996
3,000000;0,020848;9,399996
3,000000;0,021681;9,599996
3,000000;0,022505;9,799995
3,000000;0,023319;9,999995
3,000000;0,024123;10,200000
3,000000;0,024923;10,399990
4,000000;-1,375000E-6;0,400000
4,000000;-1,375000E-6;0,600000
4,000000;-2,750000E-6;0,800000
4,000000;-4,125000E-6;1,000000
4,000000;-4,125000E-6;1,200000
4,000000;-5,500000E-6;1,400000
4,000000;-2,750000E-6;1,600000
4,000000;-1,375000E-6;1,800000
4,000000;8,251000E-6;2,000000
4,000000;1,925100E-5;2,200000
4,000000;4,950300E-5;2,400000
4,000000;0,000103;2,600000
4,000000;0,000193;2,800000
4,000000;0,000323;3,000000
4,000000;0,000495;3,200001
4,000000;0,000715;3,400001
4,000000;0,000976;3,600001
4,000000;0,001284;3,800001
4,000000;0,001636;4,000000
4,000000;0,002031;4,200000
4,000000;0,002464;4,400000
4,000000;0,002934;4,600000
4,000000;0,003443;4,800000
4,000000;0,003989;5,000000
4,000000;0,004565;5,199999
4,000000;0,005176;5,399999
4,000000;0,005817;5,599999
4,000000;0,006488;5,799999
4,000000;0,007183;5,999999
4,000000;0,007900;6,199998
4,000000;0,008649;6,399998
4,000000;0,009421;6,599998
4,000000;0,010211;6,799998
4,000000;0,011025;6,999998
4,000000;0,011853;7,199997
4,000000;0,012700;7,399997
4,000000;0,013565;7,599997
4,000000;0,014449;7,799997
4,000000;0,015343;7,999997
4,000000;0,016252;8,199997
4,000000;0,017173;8,399997
4,000000;0,018100;8,599997
4,000000;0,019038;8,799996
4,000000;0,019985;8,999996
4,000000;0,020944;9,199996
4,000000;0,021904;9,399996
4,000000;0,022870;9,599996
4,000000;0,023836;9,799995
4,000000;0,024807;9,999995
4,000000;0,025781;10,200000
4,000000;0,026752;10,399990
5,000000;-5,500000E-6;0,400000
5,000000;-2,750000E-6;0,600000
5,000000;-2,750000E-6;0,800000
5,000000;-2,750000E-6;1,000000
5,000000;-4,125000E-6;1,400000
5,000000;-2,750000E-6;1,600000
5,000000;1,375000E-6;1,800000
5,000000;8,251000E-6;2,000000
5,000000;2,200100E-5;2,200000
5,000000;4,950300E-5;2,400000
5,000000;0,000109;2,600000
5,000000;0,000201;2,800000
5,000000;0,000334;3,000000
5,000000;0,000510;3,200001
5,000000;0,000733;3,400001
5,000000;0,000998;3,600001
5,000000;0,001310;3,800001
5,000000;0,001665;4,000000
5,000000;0,002061;4,200000
5,000000;0,002501;4,400000
