U;I
6,690806;0,008671
6,693287;0,008731
6,695697;0,008789
6,698132;0,008853
6,700615;0,008910
6,703046;0,008973
6,705572;0,009032
6,708059;0,009092
6,710545;0,009153
6,713027;0,009216
6,715357;0,009275
6,717812;0,009338
6,720270;0,009400
6,722550;0,009457
6,725073;0,009517
6,727523;0,009581
6,729871;0,009641
6,732242;0,009702
6,734700;0,009765
6,737097;0,009825
6,739443;0,009890
6,741856;0,009946
6,744165;0,010012
6,746443;0,010070
6,748871;0,010133
6,751245;0,010193
6,753560;0,010258
6,755976;0,010318
6,758266;0,010377
6,760649;0,010443
6,762842;0,010502
6,765113;0,010568
6,767410;0,010626
6,769704;0,010692
6,771990;0,010751
6,774247;0,010811
6,776579;0,010880
6,778854;0,010939
6,781053;0,010999
6,783294;0,011066
6,785649;0,011123
6,787878;0,011187
6,790065;0,011253
6,792334;0,011312
6,794560;0,011377
6,796946;0,011437
6,799169;0,011498
6,801390;0,011563
6,803651;0,011625
6,805879;0,011690
6,808167;0,011747
6,810392;0,011815
6,812603;0,011875
6,814832;0,011940
6,817100;0,011997
6,819326;0,012065
6,821666;0,012125
6,823852;0,012188
6,826047;0,012251
6,828323;0,012310
6,830489;0,012378
6,832677;0,012438
6,834902;0,012502
6,837086;0,012563
6,839305;0,012625
6,841415;0,012688
6,843660;0,012754
6,845862;0,012815
6,848128;0,012879
6,850269;0,012945
6,852474;0,013005
6,854655;0,013069
6,856817;0,013128
6,859006;0,013194
6,861240;0,013253
6,863370;0,013323
6,865570;0,013384
6,867739;0,013448
6,869888;0,013507
6,872078;0,013573
6,874289;0,013632
6,876441;0,013701
6,878634;0,013760
6,880729;0,013826
6,882909;0,013885
6,885106;0,013954
6,887190;0,014015
6,889261;0,014078
6,891440;0,014140
6,893649;0,014206
6,895762;0,014267
6,896663;0,014331
6,899873;0,014391
6,902053;0,014451
6,904309;0,014518
6,906377;0,014577
6,908262;0,014634
6,910480;0,014700
6,912685;0,014764
6,914665;0,014824
6,917102;0,014890
6,919189;0,014956
6,921364;0,015016
6,923513;0,015083
6,925683;0,015142
6,927763;0,015207
6,929937;0,015271
6,932051;0,015337
6,934049;0,015395
6,936166;0,015466
6,938399;0,015524
6,940461;0,015590
6,942670;0,015655
6,944804;0,015719
6,946892;0,015784
6,949031;0,015847
6,951320;0,015907
6,953293;0,015969
6,955435;0,016035
6,957630;0,016098
6,959709;0,016164
6,961876;0,016221
6,964025;0,016289
6,966135;0,016352
6,968280;0,016418
6,970420;0,016482
6,972495;0,016541
6,974642;0,016607
6,976652;0,016670
6,978704;0,016736
6,980796;0,016799
6,982879;0,016863
6,984916;0,016927
6,987067;0,016992
6,989146;0,017051
6,991265;0,017117
6,993273;0,017180
6,995317;0,017248
6,997373;0,017307
6,999418;0,017375
7,001493;0,017436
7,003559;0,017506
7,005607;0,017564
7,007757;0,017633
7,009819;0,017692
7,011806;0,017758
7,013836;0,017821
7,015923;0,017889
7,018004;0,017949
7,020073;0,018017
7,022143;0,018078
7,024109;0,018142
7,026078;0,018202
7,028185;0,018264
7,030207;0,018330
7,031828;0,018377
7,034081;0,018450
7,036096;0,018511
7,038254;0,018581
7,040437;0,018642
7,042507;0,018708
7,044595;0,018772
7,046664;0,018838
7,048800;0,018901
7,050797;0,018970
7,052877;0,019033
7,054906;0,019098
7,056950;0,019161
7,059137;0,019224
7,060990;0,019291
7,063117;0,019354
7,065115;0,019417
7,067181;0,019482
7,069287;0,019547
7,071375;0,019608
7,073470;0,019674
7,075597;0,019736
7,077631;0,019805
7,079671;0,019868
7,081757;0,019932
7,083787;0,019995
7,085808;0,020059
7,087969;0,020123
7,089964;0,020186
7,092083;0,020254
7,094136;0,020314
7,096164;0,020381
7,098286;0,020442
7,100333;0,020507
7,102390;0,020573
7,104392;0,020635
7,106382;0,020702
7,108450;0,020764
7,110571;0,020830
7,112612;0,020891
7,114708;0,020952
7,116803;0,021020
7,118802;0,021083
7,120809;0,021146
7,122851;0,021210
7,124880;0,021276
7,126929;0,021344
7,128971;0,021405
7,131055;0,021470
7,133033;0,021536
7,135133;0,021600
7,137230;0,021662
7,139240;0,021724
7,141370;0,021790
7,143417;0,021850
7,145414;0,021916
7,147480;0,021982
7,149513;0,022045
7,151598;0,022111
7,153723;0,022174
7,155692;0,022236
7,157829;0,022302
7,159899;0,022364
7,161931;0,022432
7,163962;0,022491
7,166066;0,022559
7,168050;0,022620
7,170107;0,022688
