U;I
0,336947;0,058229
0,337025;0,058313
0,337103;0,058394
0,337182;0,058475
0,337260;0,058554
0,337338;0,058634
0,337414;0,058714
0,337493;0,058793
0,337573;0,058876
0,337653;0,058951
0,337733;0,059032
0,337811;0,059112
0,337890;0,059198
0,337971;0,059275
0,338050;0,059359
0,338128;0,059436
0,338207;0,059515
0,338286;0,059599
0,338367;0,059676
0,338446;0,059758
0,338523;0,059835
0,338599;0,059915
0,338677;0,059996
0,338754;0,060070
0,338829;0,060157
0,338903;0,060235
0,338978;0,060316
0,339053;0,060398
0,339127;0,060476
0,339202;0,060561
0,339277;0,060637
0,339353;0,060717
0,339428;0,060800
0,339501;0,060877
0,339576;0,060957
0,339651;0,061039
0,339731;0,061123
0,339807;0,061201
0,339884;0,061288
0,339959;0,061366
0,340034;0,061444
0,340110;0,061527
0,340182;0,061606
0,340255;0,061683
0,340328;0,061767
0,340402;0,061845
0,340478;0,061921
0,340553;0,062007
0,340629;0,062087
0,340700;0,062166
0,340772;0,062250
0,340849;0,062326
0,340932;0,062420
0,341005;0,062494
0,341080;0,062577
0,341153;0,062662
0,341227;0,062740
0,341301;0,062821
0,341376;0,062898
0,341448;0,062978
0,341521;0,063056
0,341594;0,063141
0,341667;0,063217
0,341740;0,063300
0,341813;0,063379
0,341887;0,063461
0,341964;0,063541
0,342038;0,063620
0,342111;0,063697
0,342183;0,063782
0,342255;0,063863
0,342325;0,063940
0,342396;0,064024
0,342468;0,064103
0,342542;0,064180
0,342615;0,064261
0,342688;0,064340
0,342761;0,064422
0,342834;0,064499
0,342907;0,064581
0,342980;0,064661
0,343054;0,064745
0,343125;0,064821
0,343196;0,064904
0,343272;0,064988
0,343345;0,065067
0,343418;0,065148
0,343491;0,065226
0,343561;0,065306
0,343631;0,065390
0,343703;0,065467
0,343775;0,065550
0,343848;0,065633
0,343919;0,065712
0,343989;0,065791
0,344059;0,065868
0,344128;0,065954
0,344197;0,066030
0,344267;0,066115
0,344334;0,066194
0,344401;0,066274
0,344469;0,066351
0,344537;0,066433
0,344605;0,066515
0,344671;0,066595
0,344739;0,066673
0,344806;0,066754
0,344870;0,066834
0,344936;0,066912
0,345000;0,066995
0,345065;0,067073
0,345130;0,067157
0,345196;0,067233
0,345261;0,067313
0,345325;0,067397
0,345390;0,067479
0,345451;0,067553
0,345518;0,067632
0,345585;0,067710
0,345652;0,067791
0,345719;0,067877
0,345783;0,067951
0,345847;0,068037
0,345910;0,068115
0,345973;0,068197
0,346038;0,068281
0,346101;0,068355
0,346164;0,068436
0,346226;0,068517
0,346290;0,068595
0,346356;0,068674
0,346422;0,068759
0,346490;0,068834
0,346555;0,068919
0,346620;0,068999
0,346686;0,069080
0,346751;0,069155
0,346817;0,069236
0,346884;0,069320
0,346949;0,069397
0,347013;0,069482
0,347078;0,069560
0,347143;0,069639
0,347211;0,069722
0,347277;0,069805
0,347342;0,069879
0,347402;0,069964
0,347465;0,070038
0,347533;0,070119
0,347594;0,070197
0,347659;0,070276
0,347672;0,070361
0,347769;0,070416
0,347877;0,070545
0,348000;0,070694
0,348065;0,070773
0,348132;0,070863
0,348185;0,070921
0,348282;0,071009
0,348370;0,071153
0,348442;0,071242
0,348390;0,071175
0,348410;0,071216
0,348494;0,071314
0,348559;0,071400
0,348621;0,071484
0,348684;0,071559
0,348746;0,071646
0,348806;0,071725
0,348868;0,071805
0,348931;0,071890
0,348994;0,071967
0,349058;0,072051
0,349121;0,072133
0,349187;0,072210
0,349253;0,072297
0,349317;0,072378
0,349382;0,072459
0,349448;0,072548
0,349513;0,072625
0,349576;0,072710
0,349639;0,072787
0,349704;0,072870
0,349768;0,072950
0,349832;0,073034
0,349894;0,073119
0,349957;0,073193
0,350017;0,073278
0,350080;0,073358
0,350141;0,073437
0,350201;0,073522
0,350265;0,073599
0,350329;0,073687
0,350390;0,073767
0,350450;0,073837
0,350518;0,073927
0,350584;0,074010
0,350651;0,074085
0,350717;0,074170
0,350783;0,074250
0,350846;0,074332
0,350912;0,074411
0,350976;0,074496
0,351039;0,074575
0,351102;0,074654
0,351163;0,074737
0,351223;0,074816
0,351284;0,074898
0,351347;0,074976
0,351414;0,075056
0,351481;0,075141
0,351543;0,075217
0,351607;0,075296
0,351667;0,075377
0,351730;0,075460
0,351794;0,075539
0,351856;0,075617
0,351918;0,075698
0,351978;0,075778
0,352040;0,075860
0,352103;0,075937
0,352164;0,076022
0,352224;0,076101
0,352284;0,076184
0,352343;0,076263
0,352397;0,076345
0,352457;0,076422
0,352518;0,076503
0,352581;0,076589
0,352646;0,076670
0,352708;0,076749
0,352773;0,076834
0,352837;0,076911
0,352902;0,076994
0,352965;0,077075
0,353027;0,077154
0,353088;0,077239
0,353147;0,077317
0,353207;0,077398
